Scientificname,Commonname,Taxa_Type,total_count,n_observations,non-native,invasive
Etheostoma fusiforme,Swamp Darter,Fish,63,24,,
Etropus crossotus,Fringed Flounder,Fish,598,329,,
Etropus cyclosquamus,Shelf Flounder,Fish,1,1,,
Etropus spp.,sand whiffs,Fish,1,1,,
Eucinostomus argenteus,Spotfin Mojarra,Fish,43,16,,
Eucinostomus gula,Silver Jenny,Fish,278681,13524,,
Eucinostomus harengulus,Tidewater Mojarra,Fish,282062,14855,,
Eucinostomus spp.,Eucinostomus,Fish,867495,17407,,
Eugerres plumieri,Striped Mojarra,Fish,47808,5203,,
Euthynnus alletteratus,Little Tunny,Fish,3,1,,
Fistularia tabacaria,Bluespotted Cornetfish,Fish,1,1,,
Floridichthys carpio,Goldspotted Killifish,Fish,116639,3847,,
Fundulus chrysotus,Golden Topminnow,Fish,6,6,,
Fundulus confluentus,Marsh Killifish,Fish,896,241,,
Fundulus grandis,Gulf Killifish,Fish,39389,3730,,
Fundulus majalis,Striped Killifish,Fish,21,8,,
Fundulus seminolis,Seminole Killifish,Fish,12048,1060,,
Fundulus similis,Longnose Killifish,Fish,55897,2231,,
Fundulus spp.,topminnows,Fish,76,35,,
Fundulus xenicus,Diamond Killifish,Fish,5305,328,,
Gambusia affinis,Western Mosquitofish,Fish,6,3,,
Gambusia holbrooki,Eastern Mosquito Fish,Fish,105837,2517,,
Gerreidae spp.,Mojarras,Fish,260,16,,
Gerres cinereus,Yellowfin Mojarra,Fish,25,13,,
Ginglymostoma cirratum,Nurse Shark,Fish,1,1,,
Gobiesox strumosus,Skilletfish,Fish,633,443,,
Gobiidae spp.,Gobies,Fish,10,5,,
Gobiomorus dormitor,Bigmouth Sleeper,Fish,2,2,,
Gobionellus oceanicus,Highfin Goby,Fish,25,23,,
Gobiosoma bosc,Naked Goby,Fish,20673,5151,,
Gobiosoma longipala,Twoscale Goby,Fish,309,190,,
Gobiosoma robustum,Code Goby,Fish,12977,3211,,
Gobiosoma spp.,Gobiosoma Gobies,Fish,24018,5665,,
Gymnachirus melas,Naked Sole,Fish,1,1,,
Gymnura lessae,Atlantic Butterfly Ray,Fish,524,362,,
Haemulon aurolineatum,Tomtate,Fish,104,29,,
Haemulon plumierii,White Grunt,Fish,4522,897,,
Haemulon spp.,grunts,Fish,5,4,,
Halichoeres bivittatus,Slippery Dick,Fish,45,25,,
Harengula jaguana,Scaled Sardine,Fish,366263,3551,,
Hemicaranx amblyrhynchus,Bluntnose Jack,Fish,46,28,,
Hemichromis letourneuxi,African Jewelfish,Fish,195,75,Y,
Hemiramphidae spp.,halfbeaks,Fish,8,5,,
Hemiramphus balao,Balao,Fish,1,1,,
Hemiramphus brasiliensis,Ballyhoo,Fish,43,14,,
Hemiramphus spp.,halfbeaks,Fish,3,3,,
Heterandria formosa,Least Killifish,Fish,416,150,,
Hippocampus erectus,Lined Seahorse,Fish,1073,822,,
Hippocampus spp.,seahorses,Fish,4,4,,
Hippocampus zosterae,Dwarf Seahorse,Fish,1335,703,,
Hoplosternum littorale,Brown Hoplo,Fish,16,14,,
Hoplosternum spp.,callichthyid armored catfishes,Fish,4,4,Y,
Hypanus americanus,Southern Stingray,Fish,361,267,,
Hypanus sabinus,Atlantic Stingray,Fish,16793,6162,,
Hypanus say,Bluntnose Stingray,Fish,1289,831,,
Hypanus spp.,Whiptail Stingrays,Fish,14,14,,
Hypleurochilus caudovittatus,Zebratail Blenny,Fish,82,47,,
Hypleurochilus spp.,combtooth blennies,Fish,3,2,,
Hyporhamphus meeki,False Silverstripe Halfbeak,Fish,1665,489,,
Hyporhamphus spp.,Halfbeaks,Fish,258,101,,
Hyporhamphus unifasciatus,Atlantic Silverstripe Halfbeak,Fish,29,14,,
Hypsoblennius hentz,Feather Blenny,Fish,236,171,,
Ictaluridae spp.,North American catfishes,Fish,2,2,,
Ictalurus punctatus,Channel Catfish,Fish,86,42,,
Jordanella floridae,Flagfish,Fish,4,4,,
Kryptolebias marmoratus,Mangrove Rivulus,Fish,1,1,,
Kyphosus sectatrix,Bermuda Chub,Fish,1,1,,
Kyphosus spp.,sea chubs,Fish,1,1,,
Labidesthes vanhyningi,Green Silverside,Fish,2546,291,,
Lachnolaimus maximus,Hogfish,Fish,53,46,,
Lactophrys spp.,Trunkfishes,Fish,9,6,,
Lactophrys trigonus,Trunkfish,Fish,39,33,,
Lagodon rhomboides,Pinfish,Fish,1842704,20585,,
Leiostomus xanthurus,Spot,Fish,483941,6532,,
Lepisosteus osseus,Longnose Gar,Fish,518,344,,
Lepisosteus platyrhincus,Florida Gar,Fish,92,76,,
Lepisosteus spp.,Gars,Fish,6,6,,
Lepomis auritus,Redbreast Sunfish,Fish,146,92,,
Lepomis gulosus,Warmouth,Fish,17,15,,
Lepomis macrochirus,Bluegill,Fish,5446,1152,,
Lepomis marginatus,Dollar Sunfish,Fish,23,19,,
Lepomis microlophus,Redear Sunfish,Fish,618,199,,
Lepomis punctatus,Spotted Sunfish,Fish,198,114,,
Lepomis spp.,Sunfishes,Fish,901,253,,
Lobotes surinamensis,Atlantic Tripletail,Fish,4,3,,
Lophogobius cyprinoides,Crested Goby,Fish,2610,435,,
Loricariidae spp.,suckermouth armored catfishes,Fish,60,46,Y,
Lucania goodei,Bluefin Killifish,Fish,579,163,,
Lucania parva,Rainwater Killifish,Fish,472100,8448,,
Lucania spp.,topminnows,Fish,1,1,,
Lupinoblennius nicholsi,Highfin Blenny,Fish,72,24,,
Lutjanus analis,Mutton Snapper,Fish,9,9,,
Lutjanus apodus,Schoolmaster,Fish,1,1,,
Lutjanus griseus,Gray Snapper,Fish,11499,3499,,
Lutjanus spp.,snappers,Fish,5,4,,
Lutjanus synagris,Lane Snapper,Fish,6190,1505,,
Mayaheros urophthalmus,Mayan Cichlid,Fish,829,138,Y,
Megalops atlanticus,Tarpon,Fish,38,27,,
Membras martinica,Rough Silverside,Fish,18079,549,,
Menidia spp.,New World silversides,Fish,1592195,15463,,
Menticirrhus americanus,Southern Kingfish,Fish,28981,3631,,
Menticirrhus littoralis,Gulf Kingfish,Fish,402,72,,
Menticirrhus saxatilis,Northern Kingfish,Fish,733,365,,
Menticirrhus spp.,drums and croakers,Fish,68,31,,
Microgobius gulosus,Clown Goby,Fish,184398,13750,,
Microgobius spp.,gobies,Fish,4,4,,
Microgobius thalassinus,Green Goby,Fish,1966,633,,
