Reference,gr,Latitude,Longitude
TBM1996061006,020,27.697333,-82.717833
TBM1996061008,020,27.7,-82.685
TBM1996061009,020,27.737333,-82.64
TBM1996061101,020,27.74,-82.744833
TBM1996061102,020,27.741667,-82.73
TBM1996061104,020,27.829167,-82.831
TBM1996061105,020,27.795,-82.76
TBM1996061314,020,27.503667,-82.695
TBM1996061317,020,27.5855,-82.598333
TBM1996061319,020,27.564167,-82.5705
TBM1996061803,020,27.857833,-82.411667
TBM1996061809,020,27.883167,-82.48
TBM1996061812,020,27.924667,-82.418
TBM1996061901,020,27.868333,-82.5385
TBM1996061903,020,27.850167,-82.551
TBM1996061910,020,27.83,-82.584833
TBM1996061917,020,27.852333,-82.595667
TBM1996061918,020,27.7225,-82.480833
TBM1996061921,020,27.926833,-82.532333
TBM1996061923,020,27.908,-82.532667
TBM1996062004,020,27.978667,-82.688167000000007
TBM1996062005,020,27.76,-82.448667
TBM1996062007,020,27.749167,-82.455833
TBM1996062010,020,27.915,-82.680333
TBM1996062011,020,27.642333,-82.558333
TBM1996062014,020,27.6945,-82.522667
TBM1996062102,020,27.8975,-82.644167
TBM1996062104,020,27.966,-82.575333
TBM1996071104,020,27.638,-82.563
TBM1996071111,020,27.7415,-82.465167
TBM1996071501,020,27.5645,-82.6025
TBM1996071503,020,27.559833,-82.625
TBM1996071506,020,27.505,-82.698333
TBM1996071508,020,27.5255,-82.665167
TBM1996071705,020,27.663667,-82.680167
TBM1996071706,020,27.663,-82.716667
TBM1996071707,020,27.670333,-82.731167
TBM1996071709,020,27.700167,-82.687833
TBM1996071710,020,27.721833,-82.729833
TBM1996071711,020,27.701333,-82.6245
TBM1996071802,020,27.919,-82.488167
TBM1996071803,020,27.915333,-82.49
TBM1996071805,020,27.826833,-82.812
TBM1996071810,020,27.820667,-82.476167
TBM1996071811,020,27.819833,-82.482
TBM1996071813,020,27.753167,-82.7515
TBM1996071815,020,27.774667,-82.747
TBM1996071909,020,27.8475,-82.411333
TBM1996072203,020,27.99,-82.6215
TBM1996072204,020,27.999167,-82.6375
TBM1996072206,020,28.017167,-82.652667
TBM1996072207,020,28.0025,-82.655167
TBM1996072210,020,27.810333,-82.596333
TBM1996072212,020,27.779667,-82.621833
TBM1996072302,020,27.879333,-82.6115
TBM1996072303,020,27.8845,-82.621667
TBM1996072304,020,27.891167,-82.643667
TBM1996072307,020,27.849667,-82.623333
TBM1996081204,020,27.561,-82.603667
TBM1996081206,020,27.580167,-82.608833
TBM1996081303,020,27.501,-82.686333
TBM1996081401,020,27.987,-82.689667
TBM1996081402,020,27.994833,-82.683167
TBM1996081403,020,28.033167,-82.687833
TBM1996081405,020,27.981833,-82.606833
TBM1996081409,020,28.003,-82.676833
TBM1996081502,020,27.845333,-82.613833
TBM1996081503,020,27.8405,-82.609
TBM1996081507,020,27.666667,-82.662
TBM1996081509,020,27.689667,-82.706167
TBM1996081510,020,27.696333,-82.720167
TBM1996081511,020,27.702333,-82.737333
TBM1996081517,020,27.910833,-82.6575
TBM1996081519,020,27.874167,-82.600833
TBM1996081520,020,27.864167,-82.609167
TBM1996081601,020,27.759333,-82.741833
TBM1996081604,020,27.737167,-82.694667
TBM1996081605,020,27.8255,-82.808833
TBM1996081606,020,27.7915,-82.7765
TBM1996081902,020,27.676333,-82.509167
TBM1996081903,020,27.604333,-82.561667
TBM1996082009,020,27.777833,-82.422333
TBM1996082010,020,27.767833,-82.4335
TBM1996082103,020,27.9275,-82.4165
TBM1996082106,020,27.893667,-82.4855
TBM1996082109,020,27.847667,-82.469833
TBM1996082201,020,27.835333,-82.528167
TBM1996082210,020,27.847167,-82.409167
TBM1996091201,020,27.808,-82.803167
TBM1996091203,020,27.799,-82.770167
TBM1996091205,020,27.799667,-82.758
TBM1996091211,020,27.687333,-82.703833
TBM1996091212,020,27.6745,-82.734833
TBM1996091213,020,27.673,-82.730833
TBM1996091214,020,27.654833,-82.720833
TBM1996091305,020,27.6775,-82.665833
TBM1996091307,020,27.725833,-82.619167
TBM1996091601,020,27.843,-82.618833
TBM1996091602,020,27.844167,-82.613833
TBM1996091603,020,27.811333,-82.594667
TBM1996091609,020,27.896,-82.532833
TBM1996091611,020,27.869333,-82.612
TBM1996091702,020,27.943667,-82.5405
TBM1996091703,020,27.947,-82.549167
TBM1996091704,020,27.953833,-82.5475
TBM1996091705,020,27.931333,-82.7025
TBM1996091707,020,27.998167,-82.635
TBM1996091901,020,27.9085,-82.463167
TBM1996091902,020,27.551167,-82.572
TBM1996091905,020,27.926833,-82.418167
TBM1996091906,020,27.887167,-82.4175
TBM1996091907,020,27.587167,-82.612333
TBM1996091908,020,27.873167,-82.425833
TBM1996091910,020,27.594833,-82.593833
TBM1996091912,020,27.709167,-82.487833
TBM1996092303,020,27.844167,-82.423333
TBM1996092401,020,27.525833,-82.665833
TBM1996092403,020,27.549,-82.6255
TBM1996101107,020,27.853167,-82.399
TBM1996101116,020,27.9285,-82.476333
TBM1996101120,020,27.8235,-82.396167
TBM1996101501,020,27.5245,-82.644167
TBM1996101507,020,27.549833,-82.5795
TBM1996101605,020,27.783667,-82.614667
TBM1996101606,020,27.797667,-82.604667
TBM1996101607,020,27.805333,-82.608333
TBM1996101608,020,27.84,-82.586667
TBM1996101610,020,27.87,-82.536667
TBM1996101704,020,27.994167,-82.623333
TBM1996101706,020,28.033667,-82.677167
TBM1996101708,020,27.620667,-82.714667
TBM1996101709,020,27.638333,-82.6915
TBM1996101710,020,27.9685,-82.686333
TBM1996101711,020,27.652833,-82.700833
TBM1996101712,020,27.901667,-82.645
TBM1996101713,020,27.667,-82.72
TBM1996101714,020,27.897333,-82.636833
TBM1996101716,020,27.664833,-82.679167
TBM1996101718,020,27.706333,-82.680833
TBM1996101719,020,27.7275,-82.6935
TBM1996101722,020,27.971833,-82.604667
TBM1996101802,020,27.789,-82.778
TBM1996102201,020,27.608167,-82.549667
TBM1996102203,020,27.675667,-82.5275
TBM1996102205,020,27.690667,-82.529333
TBM1996102207,020,27.719167,-82.489333
TBM1996102208,020,27.725833,-82.489333
TBM1996102209,020,27.733833,-82.474833
TBM1996110706,020,27.579667,-82.614333
TBM1996110709,020,27.529167,-82.6825
TBM1996110803,020,27.551333,-82.575167
TBM1996110805,020,27.528833,-82.609333
TBM1996111402,020,27.813167,-82.8025
TBM1996111403,020,27.757333,-82.743167
TBM1996111404,020,27.739,-82.755833
TBM1996111405,020,27.7405,-82.627667
TBM1996111501,020,27.7025,-82.6725
TBM1996111504,020,27.647,-82.686167
TBM1996111505,020,27.638667,-82.7135
TBM1996111801,020,27.684833,-82.716667
TBM1996111804,020,27.701333,-82.686667
TBM1996112001,020,27.944333,-82.408167
TBM1996112002,020,27.928,-82.415667
TBM1996112006,020,27.742667,-82.466167
TBM1996112008,020,27.996833,-82.679667
TBM1996112009,020,27.6755,-82.542667
TBM1996112010,020,27.861167,-82.486833
TBM1996112011,020,28.0315,-82.6905
TBM1996112017,020,27.996833,-82.633833
TBM1996112021,020,27.7525,-82.462833
TBM1996112022,020,27.961833,-82.571
TBM1996112026,020,27.744333,-82.479833
TBM1996112028,020,27.9165,-82.683167
TBM1996112029,020,27.9165,-82.686167
TBM1996112102,020,27.845667,-82.555167
TBM1996112104,020,27.831333,-82.525833
TBM1996112106,020,27.859167,-82.596333
TBM1996112107,020,27.879167,-82.613
TBM1996120903,020,27.987,-82.626667
TBM1996120904,020,27.992,-82.681833
TBM1996120906,020,28.017333,-82.686333
TBM1996121002,020,27.8345,-82.56
TBM1996121003,020,27.8285,-82.53
TBM1996121006,020,27.858833,-82.595167
TBM1996121007,020,27.868,-82.608333
TBM1996121108,020,27.915,-82.682667
TBM1996121110,020,27.921333,-82.697333
TBM1996121116,020,27.9595,-82.5765
TBM1996121202,020,27.6475,-82.685333
TBM1996121205,020,27.639333,-82.7155
TBM1996121208,020,27.860667,-82.4835
TBM1996121210,020,27.929667,-82.417333
TBM1996121211,020,27.684167,-82.717333
TBM1996121212,020,27.704333,-82.695667
TBM1996121213,020,27.9445,-82.413167
TBM1996121214,020,27.706333,-82.681167
TBM1996121215,020,27.759833,-82.741333
TBM1996121216,020,27.791667,-82.776833
TBM1996121218,020,27.809667,-82.803667
TBM1996121303,020,27.736167,-82.624167
TBM1996121618,020,27.524167,-82.611667
TBM1996121702,020,27.677,-82.540167
TBM1996121704,020,27.527833,-82.6825
TBM1996121706,020,27.749,-82.467833
TBM1996121708,020,27.754833,-82.458667
TBM1996121711,020,27.579167,-82.608667
TBM1996121712,020,27.744667,-82.464
TBM1996121713,020,27.550833,-82.579667
TBM1997011005,020,27.512833,-82.683
TBM1997011007,020,27.500833,-82.707
TBM1997011012,020,27.547333,-82.583
TBM1997011013,020,27.564667,-82.621
TBM1997011502,020,27.994167,-82.594167
TBM1997011503,020,27.976333,-82.587167
TBM1997011509,020,27.984167,-82.665
TBM1997011512,020,28.008,-82.676667
TBM1997011521,020,27.916667,-82.667333
TBM1997011605,020,27.886333,-82.4805
TBM1997011606,020,27.8295,-82.553667
TBM1997011607,020,27.877,-82.484
TBM1997011609,020,27.931833,-82.533667
TBM1997011611,020,27.882333,-82.616833
TBM1997011612,020,27.824667,-82.588833
TBM1997011616,020,27.814167,-82.6165
TBM1997011619,020,27.763,-82.439833
TBM1997011620,020,27.772167,-82.430333
TBM1997011621,020,27.821667,-82.390833
TBM1997011623,020,27.855667,-82.4075
TBM1997012305,020,27.713333,-82.721667
TBM1997012307,020,27.7405,-82.7375
TBM1997012310,020,27.774167,-82.756833
TBM1997012314,020,27.818833,-82.7625
TBM1997012316,020,27.809,-82.804833
TBM1997012404,020,27.682833,-82.649833
TBM1997012405,020,27.701833,-82.6655
TBM1997012407,020,27.6325,-82.7335
TBM1997012409,020,27.7295,-82.7375
TBM1997020601,020,27.5265,-82.604833
TBM1997020602,020,27.5805,-82.608167
TBM1997020608,020,27.515833,-82.682833
TBM1997020609,020,27.520667,-82.678167
TBM1997021101,020,27.9445,-82.4085
TBM1997021102,020,27.929667,-82.415833
TBM1997021105,020,27.8605,-82.484333
TBM1997021202,020,27.7035,-82.6685
TBM1997021204,020,27.724,-82.6335
TBM1997021209,020,27.66,-82.743667
TBM1997021211,020,27.6655,-82.711333
TBM1997021212,020,27.669667,-82.708833
TBM1997021302,020,27.700333,-82.7175
TBM1997021303,020,27.701333,-82.723333
TBM1997021305,020,27.710833,-82.734833
TBM1997021309,020,27.8195,-82.763167
TBM1997021404,020,27.545333,-82.585
TBM1997021902,020,27.827667,-82.581167
TBM1997021905,020,27.842833,-82.553
TBM1997021906,020,27.848167,-82.549333
TBM1997021909,020,27.879667,-82.613833
TBM1997021912,020,27.9125,-82.534167
TBM1997021913,020,27.937167,-82.533
TBM1997021914,020,27.935333,-82.535333
TBM1997022010,020,27.975333,-82.689167
TBM1997022014,020,27.991333,-82.684167
TBM1997022017,020,28,-82.638
TBM1997022102,020,27.744667,-82.469833
TBM1997022103,020,27.746833,-82.478833
TBM1997022105,020,27.805333,-82.416167
TBM1997030606,020,27.640833,-82.560333
TBM1997030717,020,27.678,-82.526833
TBM1997031001,020,27.819167,-82.6175
TBM1997031004,020,27.833667,-82.536667
TBM1997031014,020,27.8785,-82.612667
TBM1997031016,020,27.871833,-82.596833
TBM1997031017,020,27.847167,-82.620667
TBM1997031104,020,27.924833,-82.696667
TBM1997031105,020,27.909333,-82.65
TBM1997031107,020,27.912167,-82.656
TBM1997031108,020,27.921,-82.656833
TBM1997031111,020,28.015167,-82.647167
TBM1997031112,020,27.994333,-82.651667
TBM1997031204,020,27.942167,-82.4245
TBM1997031206,020,27.932667,-82.416167
TBM1997031209,020,27.860833,-82.485
TBM1997031216,020,27.766,-82.435
TBM1997031219,020,27.749167,-82.468
TBM1997031220,020,27.779833,-82.432167
TBM1997031802,020,27.550833,-82.576667
TBM1997031804,020,27.590167,-82.605333
TBM1997031808,020,27.513333,-82.687
TBM1997031901,020,27.633,-82.696167
TBM1997031903,020,27.623667,-82.7075
TBM1997031909,020,27.656833,-82.704667
TBM1997031911,020,27.649167,-82.693333
TBM1997031913,020,27.657667,-82.689167
TBM1997031914,020,27.661,-82.6735
TBM1997031919,020,27.749,-82.750333
TBM1997031921,020,27.824167,-82.8325
TBM1997040709,020,27.781667,-82.430333
TBM1997040803,020,27.892667,-82.415
TBM1997040806,020,27.7875,-82.424333
TBM1997040810,020,27.849667,-82.473667
TBM1997040812,020,27.8965,-82.4875
TBM1997040901,020,27.689333,-82.675667
TBM1997040902,020,27.649,-82.673333
TBM1997040906,020,27.622667,-82.7105
TBM1997040907,020,27.615,-82.729333
TBM1997040909,020,27.704333,-82.722333
TBM1997040911,020,27.724833,-82.729333
TBM1997040914,020,27.783,-82.751
TBM1997040915,020,27.819167,-82.7665
TBM1997040917,020,27.816167,-82.800167
TBM1997041003,020,27.704333,-82.6225
TBM1997041006,020,27.690167,-82.644333
TBM1997041401,020,27.977833,-82.586667
TBM1997041403,020,27.972167,-82.5685
TBM1997041405,020,27.962167,-82.5715
TBM1997041406,020,27.962333,-82.560167
TBM1997041503,020,27.752833,-82.630167
TBM1997041615,020,27.8415,-82.539833
TBM1997041622,020,28.033667,-82.689667
TBM1997041624,020,28.008333,-82.638833
TBM1997041701,020,27.750167,-82.4675
TBM1997041702,020,27.505833,-82.6975
TBM1997041704,020,27.517833,-82.6795
TBM1997041708,020,27.5775,-82.5605
TBM1997041710,020,27.691667,-82.5265
TBM1997050709,020,27.698667,-82.6245
TBM1997050710,020,27.679833,-82.664
TBM1997050711,020,27.712,-82.690833
TBM1997050712,020,27.705833,-82.6745
TBM1997050713,020,27.699667,-82.642833
TBM1997050714,020,27.719667,-82.635167
TBM1997050801,020,27.801667,-82.7635
TBM1997050803,020,27.573,-82.619
TBM1997050805,020,27.558667,-82.628167
TBM1997050806,020,27.547667,-82.630833
TBM1997050807,020,27.624333,-82.707
TBM1997050809,020,27.523167,-82.707667
TBM1997050811,020,27.504667,-82.707667
TBM1997050814,020,27.660167,-82.670833
TBM1997050825,020,27.676,-82.739667
TBM1997050826,020,27.645833,-82.743333
TBM1997051301,020,27.927333,-82.414833
TBM1997051304,020,27.859667,-82.484833
TBM1997051305,020,27.845,-82.4695
TBM1997051309,020,27.770833,-82.435833
TBM1997051311,020,27.8465,-82.414167
TBM1997051401,020,27.9645,-82.573833
TBM1997051402,020,27.915667,-82.682833
TBM1997051404,020,27.922167,-82.694167
TBM1997051409,020,28.004167,-82.622333
TBM1997051410,020,27.9915,-82.621333
TBM1997051502,020,27.8325,-82.531833
TBM1997051504,020,27.88,-82.6135
TBM1997051505,020,27.891167,-82.638
TBM1997052002,020,27.7225,-82.484
TBM1997061102,020,27.688833,-82.530667
TBM1997061111,020,27.630667,-82.564667
TBM1997061201,020,27.500167,-82.706667
TBM1997061203,020,27.534833,-82.6545
TBM1997061210,020,27.569333,-82.5825
TBM1997061602,020,27.8605,-82.385667
TBM1997061615,020,27.86,-82.4025
TBM1997061616,020,27.826333,-82.398667
TBM1997061702,020,27.821667,-82.491167
TBM1997061707,020,27.882167,-82.481
TBM1997061709,020,27.893167,-82.485167
TBM1997061806,020,27.812667,-82.766833
TBM1997061807,020,27.825167,-82.808333
TBM1997061808,020,27.748,-82.741
TBM1997061810,020,27.699833,-82.723
TBM1997061811,020,27.6375,-82.734167
TBM1997061812,020,27.651333,-82.715833
TBM1997061813,020,27.628333,-82.701667
TBM1997061815,020,27.679833,-82.688167000000007
TBM1997062301,020,27.986167,-82.609
TBM1997062302,020,28.004333,-82.6155
TBM1997062303,020,27.999667,-82.633833
TBM1997062304,020,28.004,-82.638833
TBM1997062306,020,28.000333,-82.6745
TBM1997062312,020,27.968167,-82.633833
TBM1997062401,020,27.788167,-82.621667
TBM1997062403,020,27.825833,-82.5915
TBM1997062404,020,27.741167,-82.625333
TBM1997062405,020,27.717,-82.618
TBM1997062406,020,27.705167,-82.635667
TBM1997070806,020,27.635333,-82.576
TBM1997070808,020,27.715333,-82.502833
TBM1997070811,020,27.724333,-82.49
TBM1997070927,020,27.533167,-82.657833
TBM1997071005,020,27.553667,-82.574833
TBM1997071006,020,27.573167,-82.6195
TBM1997071414,020,27.9,-82.4215
TBM1997071502,020,27.899,-82.487833
TBM1997071504,020,27.861667,-82.486333
TBM1997071510,020,27.822167,-82.507333
TBM1997071514,020,27.793,-82.420167
TBM1997071604,020,27.748833,-82.625833
TBM1997071607,020,27.699667,-82.640333
TBM1997071610,020,27.647333,-82.675667
TBM1997071613,020,27.624667,-82.7295
TBM1997071614,020,27.626833,-82.733667
TBM1997071617,020,27.701333,-82.721333
TBM1997071701,020,27.7045,-82.691833
TBM1997071703,020,27.716667,-82.709833
TBM1997071704,020,27.719667,-82.7285
TBM1997071708,020,27.810167,-82.787667
TBM1997072103,020,27.976833,-82.687
TBM1997072104,020,27.941,-82.720333
TBM1997072105,020,27.9375,-82.722833
TBM1997072107,020,27.965333,-82.657
TBM1997072108,020,27.954833,-82.550167
TBM1997072201,020,27.835333,-82.604167
TBM1997072202,020,27.8425,-82.589
TBM1997072203,020,27.854167,-82.592667
TBM1997072205,020,27.887333,-82.614
TBM1997080701,020,27.6805,-82.6645
TBM1997080702,020,27.700167,-82.659333
TBM1997080705,020,27.751667,-82.626167
TBM1997080716,020,27.628333,-82.700333
TBM1997080719,020,27.66,-82.700833
TBM1997080722,020,27.680667,-82.679167
TBM1997080727,020,27.710667,-82.734667
TBM1997080801,020,27.775167,-82.757167
TBM1997080803,020,27.796333,-82.776667
TBM1997080805,020,27.801333,-82.796
TBM1997081103,020,27.989833,-82.613667
TBM1997081106,020,27.995167,-82.623833
TBM1997081108,020,28.003167,-82.6775
TBM1997081111,020,27.913167,-82.672
TBM1997081114,020,27.9405,-82.547
TBM1997081115,020,27.9635,-82.5745
TBM1997081201,020,27.8465,-82.62
TBM1997081209,020,27.828,-82.527333
TBM1997081210,020,27.819,-82.616667
TBM1997081211,020,27.802667,-82.600333
TBM1997081308,020,27.525333,-82.622
TBM1997081311,020,27.549667,-82.578167
TBM1997081313,020,27.575,-82.598333
TBM1997081315,020,27.523667,-82.679
TBM1997081810,020,27.8225,-82.394167
TBM1997081902,020,27.866,-82.487167
TBM1997081905,020,27.814833,-82.394333
TBM1997081907,020,27.7735,-82.431833
TBM1997082101,020,27.747,-82.4765
TBM1997082103,020,27.733833,-82.492167
TBM1997091110,020,27.662167,-82.545667
TBM1997091112,020,27.718333,-82.5025
TBM1997091113,020,27.718333,-82.500833
TBM1997091114,020,27.715667,-82.488
TBM1997091504,020,27.719667,-82.728
TBM1997091506,020,27.742333,-82.729833
TBM1997091509,020,27.7905,-82.7755
TBM1997091512,020,27.809,-82.784333
TBM1997091513,020,27.701333,-82.686333
TBM1997091602,020,27.646167,-82.743333
TBM1997091603,020,27.668167,-82.700667
TBM1997091605,020,27.703667,-82.668833
TBM1997091608,020,27.707,-82.634
TBM1997091609,020,27.751333,-82.628333
TBM1997091801,020,27.968,-82.564333
TBM1997091805,020,27.533833,-82.655167
TBM1997091806,020,27.962,-82.686333
TBM1997091807,020,27.5035,-82.687
TBM1997091808,020,27.9615,-82.6875
TBM1997091812,020,27.576,-82.595
TBM1997091813,020,27.910833,-82.658667
TBM1997091814,020,27.562833,-82.587667
TBM1997091901,020,27.895833,-82.532833
TBM1997091902,020,27.915,-82.531333
TBM1997091903,020,27.825667,-82.6005
TBM1997091905,020,27.829,-82.552833
TBM1997091906,020,27.8435,-82.544167
TBM1997092202,020,27.824833,-82.395167
TBM1997092302,020,27.929,-82.414833
TBM1997092305,020,27.763,-82.441333
TBM1997100705,020,27.94,-82.551
TBM1997100707,020,27.9275,-82.533833
TBM1997100714,020,27.931,-82.706833
TBM1997100723,020,27.989167,-82.683167
TBM1997100725,020,28.018,-82.667
TBM1997100726,020,27.9995,-82.6365
TBM1997100801,020,27.833833,-82.602667
TBM1997100803,020,27.829833,-82.587833
TBM1997100806,020,27.830333,-82.581667
TBM1997100811,020,27.868667,-82.5885
TBM1997100913,020,27.883167,-82.479333
TBM1997100915,020,27.923167,-82.482833
TBM1997101004,020,27.822667,-82.5105
TBM1997101005,020,27.833333,-82.531667
TBM1997101011,020,27.771833,-82.433333
TBM1997101601,020,27.568333,-82.578667
TBM1997102105,020,27.748,-82.485667
TBM1997102106,020,27.724167,-82.489333
TBM1997102108,020,27.630667,-82.565667
TBM1997102109,020,27.624333,-82.571667
TBM1997102110,020,27.611333,-82.573833
TBM1997102111,020,27.5995,-82.595
TBM1997102201,020,27.699,-82.723
TBM1997102202,020,27.674167,-82.730833
TBM1997102203,020,27.639,-82.713333
TBM1997102204,020,27.6295,-82.699333
TBM1997102206,020,27.656667,-82.671333
TBM1997102208,020,27.691667,-82.7345
TBM1997102209,020,27.7175,-82.706167
TBM1997102305,020,27.810167,-82.785333
TBM1997111204,020,27.622167,-82.568667
TBM1997111206,020,27.686167,-82.540667
TBM1997111207,020,27.684,-82.5335
TBM1997111301,020,27.774,-82.6175
TBM1997111309,020,27.7375,-82.699833
TBM1997111402,020,27.829667,-82.811667
TBM1997111404,020,27.790167,-82.775
TBM1997111406,020,27.699333,-82.694833
TBM1997111407,020,27.699333,-82.691167
TBM1997111410,020,27.6315,-82.733667
TBM1997111416,020,27.679167,-82.6675
TBM1997111417,020,27.716,-82.63
TBM1997111418,020,27.702,-82.665333
TBM1997111704,020,27.951333,-82.72
TBM1997111705,020,27.938667,-82.721
TBM1997111706,020,27.970667,-82.596333
