Reference,gr,Latitude,Longitude
TBD2001092301,800,27.685267,-82.526417
TBD2001092302,800,27.682483,-82.517983
TBD2001092303,800,27.679733,-82.519633
TBD2001092304,800,27.6968,-82.5168
TBD2001092305,800,27.6875,-82.529167
TBD2001092401,800,27.8372,-82.388867
TBD2001092402,800,27.837567,-82.390567
TBD2001092403,800,27.837183,-82.388867
TBD2001092404,800,27.83755,-82.39055
TBD2001092405,800,27.849117,-82.3954
TBD2001100101,251,27.82515,-82.397567
TBD2001100102,251,27.532717,-82.596417
TBD2001100103,251,27.532667,-82.59635
TBD2001100201,251,27.988367,-82.615783
TBD2001100202,251,27.985317,-82.616817
TBD2001102101,800,27.852433,-82.397433
TBD2001102102,800,27.850717,-82.397083
TBD2001102103,800,27.867233,-82.427317
TBD2001102104,800,27.8563,-82.386917
TBD2001102201,800,27.837383,-82.39085
TBD2001102202,800,27.85265,-82.397333
TBD2001102203,800,27.8507,-82.397
TBD2001102204,800,27.8458,-82.3954
TBD2001102205,800,27.856517,-82.387200000000007
TBD2001102301,800,27.837267,-82.391567
TBD2001102401,251,27.667067,-82.540183
TBD2001102402,251,27.676567,-82.534833
TBD2001102403,800,27.6777,-82.519033
TBD2001110102,251,27.8654,-82.403317
TBD2001110201,251,27.847767,-82.616033
TBD2001110202,251,27.847217,-82.6158
TBD2001110203,251,27.846667,-82.6202
TBD2001110301,251,27.697433,-82.516267
TBD2001110302,251,27.696617,-82.51595
TBD2001110303,251,27.676117,-82.526967
TBD2001110304,251,27.675083,-82.5174
TBD2001112101,800,27.837367,-82.390833
TBD2001112102,800,27.836567,-82.391517
TBD2001112103,800,27.846,-82.395467
TBD2001112104,800,27.8506,-82.396917
TBD2001112201,800,27.8561,-82.386667
TBD2001112202,800,27.850733,-82.397133
TBD2001112203,800,27.848233,-82.395133
TBD2001112204,800,27.845967,-82.3955
TBD2001112205,800,27.855667,-82.386817
TBD2001112301,800,27.856333,-82.387
TBD2001112302,800,27.836633,-82.394567
TBD2001112303,800,27.837083,-82.390033
TBD2001112401,800,27.839433,-82.391083
TBD2001112402,800,27.850367,-82.397
TBD2001112403,800,27.845917,-82.39555
TBD2001112404,800,27.85325,-82.397533
TBD2001112405,800,27.859983,-82.38345
TBD2001120101,251,27.573567,-82.562267
TBD2001120102,251,27.575483,-82.564567
TBD2001120103,251,27.506967,-82.615167
TBD2001120201,251,27.70265,-82.708633
TBD2001120202,251,27.700817,-82.706833
TBD2001120203,251,27.704633,-82.70855
TBD2001122101,800,27.837,-82.395433
TBD2001122102,800,27.852533,-82.397383
